STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y,WKT
OPEN,Bull Creek Hut,Buildings,Basic Hut/bivvy,171.968301323,-42.8931263217,POINT (171.968301323361629 -42.893126321677109)
OPEN,East Matakitaki Hut,Buildings,Standard Hut,172.556882888,-42.194457428,POINT (172.556882887687863 -42.194457428024094)
OPEN,Grough Hut,Buildings,Basic Hut/bivvy,169.946666797,-43.932772237,POINT (169.946666797054633 -43.932772236958762)
OPEN,Julia Hut,Buildings,Standard Hut,171.424010693,-42.8974174348,POINT (171.424010692964686 -42.897417434839213)
OPEN,Kirwans Hut,Buildings,Serviced Hut,172.009896019,-42.1030848745,POINT (172.00989601875736 -42.103084874490129)
OPEN,Awaroa Hut,Buildings,Great Walk Hut,173.017597661,-40.8652602885,POINT (173.017597660572335 -40.865260288531481)
OPEN,Hopeless Hut,Buildings,Standard Hut,172.756488679,-41.9303880022,POINT (172.75648867901802 -41.930388002241436)
OPEN,Greigs Hut,Buildings,Standard Hut,173.104831261,-41.8369811715,POINT (173.104831261105772 -41.836981171494259)
OPEN,Bark Bay Hut,Buildings,Great Walk Hut,173.048605799,-40.9161218817,POINT (173.048605798805568 -40.916121881663429)
OPEN,Canyon Creek Bivvy,Buildings,Basic Hut/bivvy,171.15471268,-43.1077506705,POINT (171.154712680384392 -43.107750670492869)
